dt,kdcode,score
2024-01-08,000595.SZ,-0.46923885
2024-01-08,000596.SZ,-0.12805003
2024-01-08,000597.SZ,0.10171404
2024-01-08,000598.SZ,0.072395116
2024-01-08,000599.SZ,0.15319419
2024-01-08,000600.SZ,0.053195477
2024-01-08,000601.SZ,0.12040488
2024-01-08,000603.SZ,-0.04906725
2024-01-08,000605.SZ,0.2393817
2024-01-08,000607.SZ,0.13705097
2024-01-08,000608.SZ,0.25179583
2024-01-08,000609.SZ,0.14000167
2024-01-08,000610.SZ,-0.31708184
2024-01-08,000612.SZ,0.07188864
2024-01-08,000617.SZ,-0.023239836
2024-01-08,000619.SZ,-0.016723832
2024-01-08,000622.SZ,0.2811363
2024-01-08,000623.SZ,-0.044000737
2024-01-08,000625.SZ,-0.055223264
2024-01-08,000626.SZ,0.13577753
2024-01-08,000627.SZ,0.056059193
2024-01-08,000628.SZ,8.0202146e-05
2024-01-08,000629.SZ,-0.032097742
2024-01-08,000630.SZ,0.015027523
2024-01-08,000631.SZ,0.18632725
2024-01-08,000632.SZ,0.09382727
2024-01-08,000633.SZ,0.082210094
2024-01-08,000635.SZ,0.1952823
2024-01-08,000636.SZ,-0.02701271
2024-01-08,000638.SZ,0.2583708
2024-01-08,000639.SZ,0.10512115
2024-01-08,000650.SZ,-2.1587126e-05
2024-01-08,000651.SZ,-0.31107718
2024-01-08,000652.SZ,-0.005026451
2024-01-08,000655.SZ,0.11407906
2024-01-08,000656.SZ,-0.26370656
2024-01-08,000659.SZ,0.20349245
2024-01-08,000661.SZ,-0.21293326
2024-01-08,000663.SZ,0.115186214
2024-01-08,000665.SZ,-0.04190152
2024-01-08,000668.SZ,-0.0077557834
2024-01-08,000670.SZ,-0.021065166
2024-01-08,000672.SZ,0.0060305325
2024-01-08,000676.SZ,-0.15579592
2024-01-08,000677.SZ,0.08820336
2024-01-08,000678.SZ,0.15763757
2024-01-08,000679.SZ,0.09288182
2024-01-08,000680.SZ,0.017052012
2024-01-08,000681.SZ,-0.052794136
2024-01-08,000682.SZ,-0.0032988333
2024-01-08,000683.SZ,0.044543095
2024-01-08,000685.SZ,0.08834466
2024-01-08,000686.SZ,0.0019179588
2024-01-08,000688.SZ,0.038707487
2024-01-08,000690.SZ,-0.021304812
2024-01-08,000691.SZ,-0.15457459
2024-01-08,000695.SZ,0.12546864
2024-01-08,000698.SZ,-0.46966982
2024-01-08,000700.SZ,-0.050568473
2024-01-08,000701.SZ,0.09465002
2024-01-08,000702.SZ,0.23892586
2024-01-08,000703.SZ,-0.08078714
2024-01-08,000705.SZ,-0.47261947
2024-01-08,000707.SZ,0.03850427
2024-01-08,000708.SZ,-0.060422204
2024-01-08,000709.SZ,-0.05294801
2024-01-08,000710.SZ,0.08975366
2024-01-08,000712.SZ,-0.086583644
2024-01-08,000713.SZ,-0.040037513
2024-01-08,000715.SZ,-0.21856157
2024-01-08,000716.SZ,-0.09022551
2024-01-08,000717.SZ,0.04616646
2024-01-08,000718.SZ,0.15086067
2024-01-08,000719.SZ,-0.028248679
2024-01-08,000720.SZ,0.089512154
2024-01-08,000721.SZ,-0.08552767
2024-01-08,000722.SZ,-0.0073130215
2024-01-08,000723.SZ,-0.048829395
2024-01-08,000725.SZ,-0.04839126
2024-01-08,000726.SZ,0.12149481
2024-01-08,000727.SZ,-0.050860804
2024-01-08,000728.SZ,-0.004662447
2024-01-08,000729.SZ,0.046514213
2024-01-08,000731.SZ,-0.02597996
2024-01-08,000733.SZ,-0.11937497
2024-01-08,000735.SZ,-0.05308599
2024-01-08,000736.SZ,-0.020696398
2024-01-08,000737.SZ,0.11561213
2024-01-08,000738.SZ,-0.007055814
2024-01-08,000739.SZ,-0.023977641
2024-01-08,000750.SZ,-0.038498316
2024-01-08,000751.SZ,0.07729258
2024-01-08,000753.SZ,0.08874537
2024-01-08,000755.SZ,0.09409875
2024-01-08,000756.SZ,-0.20708771
2024-01-08,000757.SZ,0.17836322
2024-01-08,000758.SZ,0.02923348
2024-01-08,000759.SZ,0.0786433
2024-01-08,000761.SZ,0.10249063
2024-01-08,000762.SZ,-0.20203945
2024-01-08,000766.SZ,-0.10014012
2024-01-08,000767.SZ,-0.0019115128
2024-01-08,000768.SZ,-0.052749008
2024-01-08,000776.SZ,-0.121297345
2024-01-08,000777.SZ,-0.28362846
2024-01-08,000778.SZ,-0.048356466
2024-01-08,000779.SZ,0.13852876
2024-01-08,000782.SZ,0.10531156
2024-01-08,000783.SZ,0.005923468
2024-01-08,000785.SZ,-0.02997156
2024-01-08,000786.SZ,-0.32111308
2024-01-08,000788.SZ,0.09628972
2024-01-08,000789.SZ,0.10143634
2024-01-08,000790.SZ,-0.011757289
2024-01-08,000791.SZ,0.091354266
2024-01-08,000792.SZ,-0.060422193
2024-01-08,000793.SZ,-0.044586953
2024-01-08,000795.SZ,0.08752172
2024-01-08,000797.SZ,0.03243522
2024-01-08,000798.SZ,0.1737071
2024-01-08,000799.SZ,-0.26611805
2024-01-08,000800.SZ,0.03491502
2024-01-08,000802.SZ,-0.096223995
2024-01-08,000803.SZ,0.22939122
2024-01-08,000807.SZ,-0.026806235
2024-01-08,000809.SZ,0.24250317
2024-01-08,000810.SZ,-0.2030913
2024-01-08,000811.SZ,0.047523737
2024-01-08,000812.SZ,-0.4411952
2024-01-08,000813.SZ,-0.01746888
2024-01-08,000815.SZ,-0.06975371
2024-01-08,000816.SZ,-0.06887051
2024-01-08,000818.SZ,-0.0651148
2024-01-08,000819.SZ,0.030676281
2024-01-08,000820.SZ,-0.26608318
2024-01-08,000821.SZ,-0.23328729
2024-01-08,000822.SZ,0.023351714
2024-01-08,000823.SZ,0.027377617
2024-01-08,000825.SZ,0.01022747
2024-01-08,000826.SZ,0.035743434
2024-01-08,000828.SZ,0.0075300396
2024-01-08,000829.SZ,-0.047742717
2024-01-08,000830.SZ,0.0023859625
2024-01-08,000831.SZ,-0.07913594
2024-01-08,000833.SZ,0.09969148
2024-01-08,000836.SZ,0.07320452
2024-01-08,000837.SZ,0.031281583
2024-01-08,000838.SZ,0.003030321
2024-01-08,000848.SZ,0.026671838
2024-01-08,000850.SZ,0.31652158
2024-01-08,000851.SZ,-0.018966861
2024-01-08,000852.SZ,0.13447548
2024-01-08,000856.SZ,0.111437835
2024-01-08,000858.SZ,-0.28116536
2024-01-08,000859.SZ,0.12672071
2024-01-08,000860.SZ,-0.029424882
2024-01-08,000861.SZ,0.0040141614
2024-01-08,000862.SZ,0.10387562
2024-01-08,000863.SZ,0.02902342
2024-01-08,000868.SZ,-0.03984448
2024-01-08,000869.SZ,-0.013171661
2024-01-08,000875.SZ,-0.020962331
2024-01-08,000876.SZ,0.0086643025
2024-01-08,000877.SZ,-0.022003744
2024-01-08,000878.SZ,-0.033314805
2024-01-08,000880.SZ,0.12096486
2024-01-08,000881.SZ,0.13340864
2024-01-08,000882.SZ,-0.14008076
2024-01-08,000883.SZ,0.034685522
2024-01-08,000885.SZ,-0.0035419937
2024-01-08,000886.SZ,0.0013160689
2024-01-08,000887.SZ,0.050968003
2024-01-08,000888.SZ,0.1427941
2024-01-08,000890.SZ,0.15723434
2024-01-08,000892.SZ,-0.13153657
2024-01-08,000893.SZ,-0.05287794
2024-01-08,000895.SZ,-0.04066084
2024-01-08,000897.SZ,0.0037099198
2024-01-08,000898.SZ,-0.033057977
2024-01-08,000899.SZ,0.010549996
2024-01-08,000900.SZ,0.04902434
2024-01-08,000901.SZ,0.052791946
2024-01-08,000902.SZ,0.039610118
2024-01-08,000903.SZ,-0.05314932
2024-01-08,000905.SZ,-0.038702868
2024-01-08,000906.SZ,0.10221096
2024-01-08,000908.SZ,0.13503717
2024-01-08,000910.SZ,0.0772531
2024-01-08,000911.SZ,0.08500219
2024-01-08,000912.SZ,0.002069565
2024-01-08,000913.SZ,0.029749742
2024-01-08,000915.SZ,-0.15501407
2024-01-08,000917.SZ,-0.12248333
2024-01-08,000919.SZ,0.09479915
2024-01-08,000920.SZ,0.10550077
2024-01-08,000921.SZ,0.0032761015
2024-01-08,000922.SZ,-0.0469767
2024-01-08,000923.SZ,0.030746128
2024-01-08,000925.SZ,0.09012227
2024-01-08,000926.SZ,-0.08753581
2024-01-08,000927.SZ,-0.027390381
2024-01-08,000928.SZ,0.05149158
2024-01-08,000929.SZ,0.11302499
2024-01-08,000930.SZ,0.010787982
2024-01-08,000931.SZ,0.061642766
2024-01-08,000932.SZ,0.07030495
2024-01-08,000933.SZ,0.017197482
2024-01-08,000935.SZ,-0.056544594
2024-01-08,000936.SZ,-0.12344062
2024-01-08,000937.SZ,-0.0032429334
